"ID","POBJECTS_ID_TBL","REMARK","PERSONS_ID_UPD","UPDATE_IP","CREATED_AT","EXPIREDATE","UPDATED_AT","SELTBLS","CONTENTS"
889,3608,"undefined",0,"127.0.0.1",2013/11/11 21:42:50,2099/12/31,2014/08/06 21:37:22.392,"[""""]",
890,1154,,0,,2013/11/12 21:53:49,2099/12/31,2013/11/12 21:53:49,,
953,3646,"test",0,"127.0.0.1",2013/11/16 20:37:16,2099/12/31,2015/03/18 21:27:07.903,"undefined","ユニークkey作成用テーブルcodeを含むテーブルではcode+αが設定されてないとエラーsnoを含むテーブルでは自動的にsnoでユニークkeyを作成"
961,1807,"undefined",0,"127.0.0.1",2013/12/03 22:54:30,2099/12/31,2015/09/12 9:29:16.310,"undefined","テーブルの項目をセット"
981,3477,,0,,2013/12/07 21:32:15,2099/12/31,2013/12/07 21:32:15,,
1001,1157,"test",0,"127.0.0.1",2013/12/09 19:56:14,2099/12/31,2015/12/23 20:50:23,"undefined","物の受注　　物の出　　お金の入りサービスの受注　　サービス部門のリソース確保　　お金の入り custinsts,custactsの使用は中止した。trnganttsのorgtblnameにcustordsがなるため。purords等は数量を減している。"
1021,1160,"undefined",0,"127.0.0.1",2013/12/14 10:53:38,2099/12/31,2015/01/28 23:36:37.861,"undefined","得意先マスタ"
1041,1144,"undefined",0,"127.0.0.1",2013/12/15 0:45:09,2099/12/31,2016/02/19 20:53:07,"undefined","itmsはcodeでユニークになることを条件としている。ganttでそれを条件としている。"
1061,1146,,0,,2013/12/16 23:20:02,2099/12/31,2013/12/16 23:20:02,,
1081,1796,"undefined",0,"127.0.0.1",2013/12/18 11:53:56,2099/12/31,2015/01/04 19:51:47.619,"undefined","pobjectへの自動作成"
1105,6441,,0,,2013/12/21 17:02:10,2099/12/31,2014/07/06 14:12:09.025,,"画面の表示レベル"
1106,1804,,0,,2013/12/21 17:46:25,2099/12/31,2013/12/21 17:46:25,,
1121,1153,,0,,2013/12/21 19:31:29,2099/12/31,2013/12/21 19:31:29,,
2001,4441,,0,,2013/12/21 23:47:36.089,2099/12/31,2013/12/21 23:47:36.089,,"テーブル項目"
2020,1152,,0,,2013/12/22 21:00:03.414,2099/12/31,2013/12/22 21:00:03.414,,"pobjectへの自動作成は、excelからのimportのときのみ有効"
2042,1810,"undefined",0,"127.0.0.1",2014/01/04 10:17:40.801,2099/12/31,2017/05/07 16:13:08,"undefined","入りは自動作成。入りを作成したいときはdlvを使用する。"
2061,4642,,0,,2014/01/04 13:07:44.661,2099/12/31,2014/01/04 13:07:44.661,,"資産管理倉庫　棚卸場所"
2100,1155,,0,,2014/01/05 9:09:57.180,2099/12/31,2014/01/05 9:09:57.180,,
2123,4965,,0,,2014/01/12 23:28:28.066,2099/12/31,2014/01/12 23:28:28.066,,"deposit　center　入金管理"
2140,5001,"undefined",0,"127.0.0.1",2014/01/18 17:13:14.355,2099/12/31,2015/03/21 23:19:15.091,"undefined","物金の入り出 purschs,purords,purinsts,puracts,shpschs・・・・・のsno毎にレコードができる。"
2162,1159,"undefined",0,"127.0.0.1",2014/01/19 20:24:16.806,2099/12/31,2016/01/11 9:40:23,"undefined","納入指示を想定  客先指定による、棚卸品目の出荷の分割を想定。custordsの分割のみ。まとめ機能はない。棚卸品目で無いときは、custords作成時に自動で作成される。自社都合による、分割の時はcustinstsの数量減で対応。"
2181,1148,,0,,2014/01/21 0:26:48.402,2099/12/31,2014/01/21 0:26:48.402,,
2182,1149,,0,,2014/01/21 1:55:04.336,2099/12/31,2014/01/21 1:55:04.336,,
2220,1795,,0,,2014/01/26 13:15:57.987,2099/12/31,2014/01/26 13:15:57.987,,
2240,5121,"undefined",0,"127.0.0.1",2014/02/02 11:36:18.559,2099/12/31,2015/11/23 12:28:15,"undefined","在庫の移動。棚卸、在庫の調整も同様"
2280,1145,"undefined",0,"127.0.0.1",2014/03/23 14:08:05.911,2099/12/31,2016/02/19 20:55:27,"undefined","部署、得意先、仕入先、倉庫等すべてを包括する、場所マスタ id=0は必要なレコード　system部門としてバッチで固定で登録 またcodeでユニークであること。"
2300,1151,"test",0,"127.0.0.1",2014/05/02 1:27:48.628,2099/12/31,2016/06/11 15:30:56,"undefined","品目毎のプログラム動作を登録itm_code = ""dummy"" loca_code = ""dummy""のidは必須"
2320,5581,,0,,2014/06/08 22:39:35.186,2099/12/31,2014/06/08 22:39:35.186,,"Fixed order Requirements Table まとめオーダテーブル"
2340,5613,"undefined",0,"127.0.0.1",2014/06/14 9:26:02.613,2015/04/30,2015/04/12 2:38:23.148,"undefined","担当者テーブル  廃止"
2360,1800,"undefined",0,"127.0.0.1",2014/06/16 21:11:55.447,2099/12/31,2016/05/27 22:09:20,"undefined","発注仕入先はマスター登録されていること"
2380,1808,"にしundefined",0,"127.0.0.1",2014/06/17 20:59:46.029,2099/12/31,2015/10/02 20:44:12.627,"undefined","cno+dealers_id毎にユニークになるようにidを取る必要がある。"
2400,1147,"undefined",0,"127.0.0.1",2014/06/18 19:23:27.799,2000/01/01,2015/08/29 21:57:56.303,"undefined","crrsに変更"
2420,2619,"undefined",0,"127.0.0.1",2014/06/18 20:59:55.149,2099/12/31,2016/02/21 23:50:15,"undefined","構成の子部品、使用装置、金型を登録親子で品目が異なる時は、親のprdpurshpはprdかpurであること。"
2440,5901,,0,,2014/06/21 17:37:18.188,2099/12/31,2014/06/21 17:37:18.188,,"引当て制限テーブル"
2460,5962,,0,,2014/06/22 10:36:36.812,2099/12/31,2014/06/22 10:36:36.812,,"facilities operator"
2480,1803,"undefined",0,"127.0.0.1",2014/06/22 16:59:56.695,2099/12/31,2015/02/04 22:43:01.848,"undefined","codeとして　""0""   system  ""dummy""　未定　は必須"
2500,1141,"undefined",0,"127.0.0.1",2014/06/22 19:41:08.619,2000/01/01,2017/08/09 20:45:31,"undefined","usrgrpsに変更"
2520,5961,"undefined",0,"127.0.0.1",2014/06/25 2:21:16.327,2099/12/31,2017/01/07 17:52:53,"undefined","装置"
2540,6061,"undefined",0,"127.0.0.1",2014/06/26 22:14:12.957,2099/12/31,2016/04/24 11:27:29,"[""""]","加工、組立に必要な人と設備 2016/4/24変更　人の管理のみに変更した。　設備はnditmsのitm歳て登録"
