"ID","REMARK","EXPIREDATE","PERSONS_ID_UPD","UPDATE_IP","CREATED_AT","UPDATED_AT","CONTENTS","POBJECTS_ID"
141,,2099-12-31 00:00:00,0,"127.0.0.1",2014-12-31 21:41:05,2014-12-31 21:41:05," dflt_for_set_tbl には同一テーブル内の内容は参照しない。
理由　処理順序が保証されない。",9222
321,,2099-12-31 00:00:00,0,"127.0.0.1",2016-08-28 23:44:15,2016-08-28 23:44:15,画面表示されたレコードのid  。選択=1 かつ必須=1,3973
361,,2099-12-31 00:00:00,0,"127.0.0.1",2017-04-30 21:33:06,2017-04-30 21:33:06,codeやsnoでviewが呼ばれた時、マスターの値ではなく既定値として表示,17065
362,,2099-12-31 00:00:00,0,"127.0.0.1",2017-04-30 21:35:34,2017-04-30 21:35:34,addの時の初期値表示,17066
402,,2099-12-31 00:00:00,0,"127.0.0.1",2017-08-12 17:32:36,2017-08-12 17:32:36,"VIEW r_xxxxxはテーブルから自動的に作成するので、項目の追加、削除はしない。
新たなVIEW YYY_XXX で対応すること。
",9226
404,,2099-12-31 00:00:00,0,"127.0.0.1",2017-08-12 17:34:55,2017-08-12 17:34:55,"SCREEN　 r_xxxxxはテーブルから自動的に作成するので、項目の追加、削除はしない。
新たなVIEW YYY_XXX で対応すること。
",9223
61,,2099-12-31 00:00:00,0,"127.0.0.1",2014-11-07 00:26:36,2014-11-07 00:26:36,onclickbuttonには「'」は使用できない。　子画面表示のためreplacewithを使用しているため。,9221
81,,2099-12-31 00:00:00,0,"127.0.0.1",2014-11-11 20:37:46,2014-11-11 20:37:46,"pdf作成用のexcelのA1のセルはNULL出ないこと。
TOPのROWの罫線のスタートがわからなくなる。
",9224
82,,2099-12-31 00:00:00,0,"127.0.0.1",2014-11-11 20:39:40,2014-11-17 19:36:13,"pdf作成用のexcelの最上段と左端のカラムは使用できない。
印刷するレコードが何番目かを示している。",9224
101,,2099-12-31 00:00:00,0,"127.0.0.1",2014-11-17 19:03:29,2014-11-17 19:44:02,"/order_list/は確認済(confirm=5)のみ対象とし、印刷後確定(confirm=1)とする。有効日は2099/12/31とする。 
",9224
