"id","screens_id","selection","hideflg","seqno","rowpos","colpos","width","type","dataprecision","datascale","indisp","subindisp","editable","maxvalue","minvalue","edoptsize","edoptmaxlength","edoptrow","edoptcols","edoptvalue","sumkey","crtfield","expiredate","remark","persons_id_upd","update_ip","created_at","updated_at","pobjects_id_sfd","tblfields_id","paragraph","formatter","contents"
160910,164,1,1,9999,,,85,"number",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,2625,5596,,,
160904,164,1,0,8888,133,1,132,"number",0,2,0,0,1,0,0,22,22,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,15365,1021,,,
160896,164,0,0,9999,,,300,"varchar",0,0,0,0,0,0,0,50,50,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,2657,4920,,,
145410,164,1,0,1001,100,1,60,"varchar",0,0,1,0,1,0,0,1,1,0,0,,,,2099/12/31,"auto_crt",0,"127.0.0.1",2015/12/01 20:06:04,2015/12/01 20:44:01,14768,421,,,
160790,164,1,0,9999,,,300,"varchar",0,0,0,0,0,0,0,50,50,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:10,2016/03/27 17:38:10,451,2058,,,
186296,164,0,0,9999,,,90,"date",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/07/04 23:06:14,2016/07/04 23:06:14,620,4926,,,
24363,164,1,0,612,61,2,200,"varchar",0,0,1,0,2,0,0,50,50,0,0,,,,2099/12/31,"auto_crt",0,"127.0.0.1",2014/06/18 21:40:32.525,2015/12/01 21:31:43,2651,2054,,,
160821,164,0,0,9999,,,120,"varchar",0,0,0,0,0,0,0,20,20,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,568,4924,,,
160796,164,1,0,9999,,,0,"number",7,2,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,575,2062,,,
160808,164,1,0,9999,,,300,"textarea",0,0,0,0,0,0,0,100,4000,10,80,,,,2099/12/31,"auto_crt",0,"2019.06.12.1",2016/03/27 17:38:11,2016/03/27 17:38:11,10121,8761,,,
160900,164,0,0,9999,,,120,"varchar",0,0,0,0,0,0,0,20,20,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,2662,4924,,,
216066,164,1,0,0,0,0,18,"number",3,0,0,0,0,0,0,0,0,0,0,"0",,,2099/12/31,"auto add otherview  screenfield --->r_nditms opeitm_autoord_p",0,,2019/07/14,2019/07/14,16286,2406,"",,
160837,164,1,0,9999,,,6,"char",0,0,0,0,0,0,0,1,1,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,12822,9902,,,
186333,164,0,0,9999,,,90,"date",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/07/04 23:06:15,2016/07/04 23:06:15,13929,11899,,,
216073,164,0,1,0,0,0,0,"number",0,0,0,0,0,0,0,0,0,0,0,"0",,,2099/12/31,"auto add otherview  screenfield --->r_nditms opeitm_shelfno_id",0,,2019/07/14,2019/07/14,16289,2447,"",,
160798,164,1,0,9999,,,132,"number",0,0,0,0,0,0,0,22,22,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,13422,7002,,,
24342,164,1,0,171,17,1,132,"number",3,0,1,0,1,0,0,10,22,0,0,,,,2099/12/31,"auto_crt",0,"127.0.0.1",2014/06/18 21:40:32.314,2015/12/01 20:48:41,881,5028,"r_opeitms",,
160825,164,1,0,9999,,,132,"number",0,4,0,0,0,0,0,22,22,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,6482,6180,,,
216070,164,1,0,0,0,0,300,"textarea",0,0,0,0,0,0,0,0,0,0,0,"0",,,2099/12/31,"auto add otherview  screenfield --->r_nditms opeitm_remark",0,,2019/07/14,2019/07/14,5805,5026,"",,
160797,164,1,0,9999,,,300,"varchar",0,0,0,0,0,0,0,50,50,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,440,2061,,,
24384,164,1,0,151,15,1,100,"varchar",0,0,1,0,1,0,0,10,200,0,0,,,,2099/12/31,"auto_crt",0,"127.0.0.1",2014/06/18 21:40:32.734,2015/12/01 21:57:49,499,4914,"r_opeitms",,
216078,164,1,0,0,0,0,300,"varchar",0,0,0,0,0,0,0,0,0,0,0,"0",,,2099/12/31,"auto add otherview  screenfield --->r_nditms unit_code_case_pur",0,,2019/07/14,2019/07/14,9104,2026,"",,
160815,164,0,0,9999,,,120,"varchar",0,0,0,0,0,0,0,20,20,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,481,4918,,,
216074,164,1,0,0,0,0,18,"varchar",0,0,0,0,0,0,0,0,0,0,0,"0",,,2099/12/31,"auto add otherview  screenfield --->r_nditms opeitm_consumtype",0,,2019/07/14,2019/07/14,14565,1881,"",,
160883,164,1,0,9999,,,300,"varchar",0,0,0,0,0,0,0,50,50,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,2670,2026,,,
160809,164,0,1,9999,0,0,132,"number",0,0,0,0,0,0,0,22,22,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2019/07/14,897,5030,,,
186275,164,1,0,9999,,,90,"date",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/07/04 23:06:14,2016/07/04 23:06:14,470,2069,,,
216080,164,1,0,0,0,0,300,"varchar",,,0,0,0,0,0,0,0,0,0,"0",,,2099/12/31,"auto add otherview  screenfield --->r_nditms itm_remark",0,,2019/07/14,2019/07/14,2653,2068,"",,
160853,164,0,0,9999,,,0,"number",7,2,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,13941,11895,,,
44819,164,0,1,9999,0,0,132,"number",38,0,0,0,0,0,0,10,22,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2014/08/17 0:25:45.454,2019/07/14,896,5027,,,
145399,164,1,0,701,70,1,60,"varchar",0,0,1,0,1,0,0,3,3,0,0,,,,2099/12/31,"auto_crt",0,"127.0.0.1",2015/12/01 20:06:04,2015/12/01 20:46:44,2634,5589,,,
160908,164,1,1,9999,,,0,"number",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,3973,5586,,,
216068,164,1,0,0,0,0,300,"varchar",0,0,0,0,0,0,0,0,0,0,0,"0",,,2099/12/31,"auto add otherview  screenfield --->r_nditms loca_code_shelfno",0,,2019/07/14,2019/07/14,10040,4914,"",,
160804,164,1,0,9999,,,300,"varchar",0,0,0,0,0,0,0,50,50,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,495,2026,,,
216071,164,1,0,0,0,0,132,"number",0,4,0,0,0,0,0,0,0,0,0,"0",,,2099/12/31,"auto add otherview  screenfield --->r_nditms opeitm_qty_pur",0,,2019/07/14,2019/07/14,16628,2661,"",,
160860,164,0,0,9999,,,300,"textarea",0,0,0,0,0,0,0,100,4000,10,80,,,,2099/12/31,"auto_crt",0,"2019.06.12.1",2016/03/27 17:38:11,2016/03/27 17:38:11,13949,8900,,,
160855,164,0,0,9999,,,300,"textarea",0,0,0,0,0,0,0,100,4000,10,80,,,,2099/12/31,"auto_crt",0,"2019.06.12.1",2016/03/27 17:38:11,2016/03/27 17:38:11,13943,8900,,,
160838,164,1,0,9999,,,6,"char",0,0,0,0,0,0,0,1,1,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,10901,9780,,,
37857,164,0,0,9999,,0,300,"varchar",0,0,0,0,0,0,0,10,50,0,0,,,,2099/12/31,"auto_crt",0,"127.0.0.1",2014/07/19 1:42:28.522,2015/12/01 20:45:26,2650,2059,,,
160897,164,0,0,9999,,,300,"varchar",0,0,0,0,0,0,0,50,50,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,2658,4921,,,
160874,164,1,0,9999,,,132,"number",0,6,0,0,0,0,0,22,22,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,2647,2063,,,
216076,164,1,0,0,0,0,300,"varchar",0,0,0,0,0,0,0,0,0,0,0,"0",,,2099/12/31,"auto add otherview  screenfield --->r_nditms shelfno_code",0,,2019/07/14,2019/07/14,10036,9074,"",,
160899,164,0,0,9999,,,120,"varchar",0,0,0,0,0,0,0,20,20,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,2661,4923,,,
160842,164,0,1,9999,0,0,0,"number",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2019/07/14,13966,11909,,,
160880,164,1,1,9999,,,0,"number",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,5849,4840,,,
160780,164,1,0,9999,,,132,"number",0,0,0,0,0,0,0,22,22,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:10,2016/03/27 17:38:10,7164,6991,,,
112755,164,0,0,9999,,,300,"textarea",0,0,0,0,0,0,0,100,4000,10,80,,,,2099/12/31,"auto_crt",0,"2019.06.12.1",2015/09/13 21:28:29.726,2015/09/13 21:28:29.727,13421,8900,,,
160795,164,1,0,9999,,,132,"number",0,6,0,0,0,0,0,22,22,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,509,2063,,,
44839,164,1,1,9999,,,132,"number",38,0,0,0,0,0,0,10,22,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2014/08/17 0:25:45.838,2014/08/17 0:25:45.838,2668,5760,,,
145496,164,0,0,9999,,0,6,"varchar",0,0,0,0,0,0,0,1,1,0,0,,,,2099/12/31,"auto_crt",0,"127.0.0.1",2015/12/01 20:06:05,2015/12/01 20:36:50,10124,8747,,,
216067,164,0,1,0,0,0,0,"number",0,0,0,0,0,0,0,0,0,0,0,"0",,,2099/12/31,"auto add otherview  screenfield --->r_nditms shelfno_id",0,,2019/07/14,2019/07/14,10029,9072,"",,
160822,164,1,0,9999,,,6,"char",0,0,0,0,0,0,0,1,1,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,7161,6661,,,
186359,164,1,0,9999,,,90,"date",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/07/04 23:06:15,2016/07/04 23:06:15,5853,2069,,,
160881,164,0,0,9999,,,300,"textarea",0,0,0,0,0,0,0,100,4000,10,80,,,,2099/12/31,"auto_crt",0,"2019.06.12.1",2016/03/27 17:38:12,2016/03/27 17:38:12,13522,8900,,,
160865,164,1,0,9999,,,6,"char",0,0,0,0,0,0,0,1,1,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,15305,523,,,
24326,164,1,0,101,10,1,100,"varchar",0,0,1,0,1,0,0,10,200,0,0,,,,2099/12/31,"auto_crt",0,"127.0.0.1",2014/06/18 21:40:32.151,2015/12/01 21:57:11,460,2053,"r_opeitms",,
160781,164,1,0,9999,,,132,"number",0,2,0,0,0,0,0,22,22,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:10,2016/03/27 17:38:10,3507,5034,,,
160878,164,1,0,9999,,,300,"varchar",0,0,0,0,0,0,0,50,50,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,2648,2060,,,
160844,164,0,0,9999,,,300,"textarea",0,0,0,0,0,0,0,100,4000,10,80,,,,2099/12/31,"auto_crt",0,"2019.06.12.1",2016/03/27 17:38:11,2016/03/27 17:38:11,13935,11898,,,
160820,164,0,0,9999,,,120,"varchar",0,0,0,0,0,0,0,20,20,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,403,4923,,,
160852,164,0,0,9999,,,0,"number",7,2,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,13940,11894,,,
