"ID","POBJECTS_ID_FLD","FTYPE","FIELDLENGTH","DATASCALE","REMARK","PERSONS_ID_UPD","UPDATE_IP","CREATED_AT","EXPIREDATE","UPDATED_AT","DATAPRECISION","SEQNO","CONTENTS"
733,3972,"number",0,0,,0,"127.0.0.1",2013/11/25 0:46:55,2099/12/31,2015/09/19 12:24:03.340,0,1,"各テーブルのユニークkey
各テーブルに必ず一つ必要
viewのとき　テーブル名.chop_idとしも存在する。
また　画面項目の""id""は必ず選択あり""1""にすること。
　　テーブルの更新keyになっている。"
752,3989,"number",0,0,,0,,2013/11/26 19:26:40,2099/12/31,2013/11/26 19:31:05,,,
762,1457,"varchar2",4000,0,,0,"127.0.0.1",2013/11/29 18:57:10,2099/12/31,2015/10/25 12:05:49,0,0,"システムがセットする備考"
763,1613,"date",0,0,,0,"127.0.0.1",2013/11/29 18:58:02,2099/12/31,2015/03/25 22:11:26.131,0,100,"有効日"
765,1461,"varchar2",40,0,,0,,2013/11/29 19:00:19,2099/12/31,2013/11/29 19:00:19,,,
766,1460,"timestamp(6)",0,0,,0,,2013/11/29 19:00:46,2099/12/31,2013/12/13 22:23:05,,,
767,1618,"timestamp(6)",0,0,,0,,2013/11/29 19:01:32,2099/12/31,2013/12/13 22:23:34,,,
768,4001,"number",0,0,,0,,2013/11/29 19:04:07,2099/12/31,2013/12/18 13:34:15,,,
810,744,"varchar2",50,0,,0,"127.0.0.1",2013/12/07 3:11:19,2099/12/31,2015/09/19 12:24:26.256,0,10,"ユニークkeyの一部であること。"
821,4045,"number",0,0,,0,,2013/12/07 12:48:08,2099/12/31,2013/12/07 12:48:08,,,
841,4078,"number",0,0,,0,,2013/12/07 21:48:55,2099/12/31,2013/12/07 21:48:55,,,
843,4080,"number",0,0,,0,,2013/12/07 21:52:01,2099/12/31,2013/12/07 21:52:01,,,
861,4121,"number",0,0,,0,,2013/12/08 13:22:50,2099/12/31,2013/12/18 13:35:26,,,
862,4122,"number",0,0,,0,,2013/12/08 13:29:49,2099/12/31,2013/12/08 13:29:49,,,
883,1453,"number",22,0," from oracle",0,"127.0.0.1",2013/12/11 21:06:25,2099/12/31,2015/09/19 12:27:07.648,0,2,"undefined"
888,1660,"number",22,4," from oracle",0,"127.0.0.1",2013/12/11 21:06:25,2099/12/31,2015/06/09 0:40:26.013,18,0,"undefined"
889,1419,"number",22,4," from oracle",0,,2013/12/11 21:06:25,2099/12/31,2013/12/11 22:31:45,,,
890,1528,"number",22,4," from oracle",0,"127.0.0.1",2013/12/11 21:06:25,2099/12/31,2015/06/09 0:45:04.626,18,0,"undefined"
891,1491,"varchar2",40,0," from oracle",0,,2013/12/11 21:06:25,2099/12/31,2013/12/11 22:32:29,,,
892,1710,"varchar2",40,0,,0,"127.0.0.1",2013/12/11 21:06:26,2099/12/31,2015/08/05 19:04:40.325,0,0,"テーブル毎にシステムでユニークにする番号
id.to_sをsnoにすることを基本としている。
テーブル項目の追加時には、自動的にindexを作製するが、削除は対応してない。
必須項目"
893,1579,"number",22,0," from oracle",0,,2013/12/11 21:06:26,2099/12/31,2013/12/11 22:30:21,,,
906,4170,"number",22,0," from oracle",0,"127.0.0.1",2013/12/11 22:41:17,2099/12/31,2015/09/19 12:29:43.318,0,3,"undefined"
907,4171,"number",22,0," from oracle",0,"127.0.0.1",2013/12/11 22:41:17,2099/12/31,2015/04/12 1:31:15.377,0,0,"undefined"
908,1463,"timestamp(6)",0,0,,0,"127.0.0.1",2013/12/11 22:53:45,2099/12/31,2015/03/25 22:05:43.869,0,0,"納期"
909,1529,"timestamp(6)",0,0," from oracle",0,,2013/12/11 22:53:45,2099/12/31,2014/01/18 18:06:14.670,,,
910,1582,"timestamp(6)",0,0," from oracle",0,,2013/12/11 22:53:45,2099/12/31,2014/01/18 18:05:54.565,,,"発行日"
911,4196,"number",22,0," from oracle",0,,2013/12/13 1:14:04,2099/12/31,2013/12/13 1:14:04,,,
921,1456,"varchar2",100,0," from oracle",0,"127.0.0.1",2013/12/14 1:29:56,2099/12/31,2015/09/19 12:25:02.452,0,15,"codeに対応する名称として登録される"
941,1485,"char",1,," from oracle",0,,2013/12/14 10:55:23,2099/12/31,2013/12/14 10:55:23,,,
944,1631,"varchar2",30,," from oracle",0,,2013/12/14 10:55:23,2099/12/31,2013/12/14 10:55:23,,,
961,1476,"char",1,0," from oracle",0,"127.0.0.1",2013/12/15 0:46:12,2099/12/31,2016/01/17 18:19:04,0,0,"仮部品　装置との区別用
[0-9] : 部品、製品
F:仮部品
D:装置
S:サービス
"
962,1616,"char",3,0,,0,"127.0.0.1",2013/12/15 0:46:12,2099/12/31,2017/08/11 22:04:58,0,0,"con:消費材,出庫、消費時制限なし
BYP:副産物
DEV:装置
MET:金型
nil:対象外　conを速成しない。"
