"ID","STRSELECT","STRWHERE","STRGROUPORDER","YMLCODE","CDRFLAYOUT","EXPIREDATE","REMARK","PERSONS_ID_UPD","UPDATE_IP","CREATED_AT","UPDATED_AT","POBJECTS_ID_SCR","POBJECTS_ID_VIEW","ROWS_PER_PAGE","ROWLIST","HEIGHT","FORM_PS","GRPCODENAME","SCRLVS_ID","CONTENTS","STRORDER"
5,,,,,,2099/12/31,"auto_crt",0,,2013/06/28 21:07:00,2015/07/26 9:36:58.886,284,1344,50,"50,250,1000,10000",200,"top:100,left:50,width:1200,height:600,dataheight:500","S8system screen",0,,
6,,,,"undefined",,2099/12/31,"auto_crt",0,"127.0.0.1",2013/06/28 21:07:00,2015/07/26 9:36:58.839,1865,304,50,"50,250,1000,10000",200,"top:100,left:50,width:1200,height:600,dataheight:500","S3",0,,
7,,,,,,2000/01/01,"auto_crt",0,"127.0.0.1",2013/06/28 21:07:00,2015/09/21 14:53:11.898,1869,309,50,"50,250,1000,10000",200,"top:100,left:50,width:1200,height:600,dataheight:500","20",0,,
8,,,,,,2099/12/31,"auto_crt",0,"127.0.0.1",2013/06/28 21:07:00,2016/07/03 17:01:29,289,1346,50,"50,250,1000,10000",200,"top:100,left:50,width:1200,height:600,dataheight:500","A3trn受注",0,,
9,,,,"undefined",,2099/12/31,"auto_crt",0,"127.0.0.1",2013/06/28 21:07:00,2016/07/03 17:01:22,8342,1347,50,"50,250,1000,10000",200,"top:100,left:50,width:1200,height:600,dataheight:500","A2trn受注",0,"gantttrn_custordsの画面項目が無いときは、画面項目の属性はr_custordsを利用",
10,,,,,,2099/12/31,"auto_crt",0,,2013/06/28 21:07:00,2015/07/26 9:36:57.496,1875,314,50,"50,250,1000,10000",200,"top:100,left:50,width:1200,height:600,dataheight:500","28",0,,
11,,,,,,2099/12/31,"auto_crt",0,,2013/06/28 21:07:00,2015/07/26 9:36:57.713,1856,296,50,"50,250,1000,10000",200,"top:100,left:50,width:1200,height:600,dataheight:500","31master",0,,
12,,,,,,2099/12/31,"auto_crt",0,,2013/06/28 21:07:00,2015/07/26 9:36:57.507,1857,297,50,"50,250,1000,10000",200,"top:100,left:50,width:1200,height:600,dataheight:500","30",0,,
17,,,,,,2099/12/31,"auto_crt",0,"127.0.0.1",2013/06/28 21:07:00,2015/07/26 9:36:57.565,1868,308,50,"50,250,1000,10000",200,"top:100,left:50,width:1200,height:600,dataheight:500","61",0,,
18,,,,,,2099/12/31,"auto_crt",0,,2013/06/28 21:07:00,2015/07/26 9:36:57.443,1873,312,50,"50,250,1000,10000",200,"top:100,left:50,width:1200,height:600,dataheight:500","15",0,,
