"ID","BLKTBS_ID","FIELDCODES_ID","EXPIREDATE","REMARK","PERSONS_ID_UPD","UPDATE_IP","CREATED_AT","UPDATED_AT","SEQNO","CONTENTS","VIEWFLMK"
0,2300,1765,2099/12/31,"",0,"127.0.0.1",2014/05/02 21:57:00,2016/04/10 13:28:47,80,"[:prd,""作業""],[:pur,""購入""],[:shp,""出庫""],[:shp,""梱包出荷""]必須項目",
2,2580,4241,2099/12/31,,0,"127.0.0.1",2015/11/18 22:19:22,2015/11/18 22:19:22,15,"undefined",
21,2841,962,2099/12/31,,0,"127.0.0.1",2015/11/21 11:10:41,2015/12/15 22:56:38,46,"opeitmsにもあるが個別に変更可能にするために、trnganttsにも持たせた。",
62,2680,1883,2099/12/31,,0,"127.0.0.1",2015/11/22 11:46:03,2016/07/23 16:39:33,10,"undefined",
101,3680,4442,2099/12/31,,0,"127.0.0.1",2015/11/22 22:45:18,2015/11/22 22:45:18,50,"undefined",
102,3680,4382,2099/12/31,,0,"127.0.0.1",2015/11/22 22:45:19,2015/11/22 22:45:19,21,"undefined",
103,3680,4381,2099/12/31,,0,"127.0.0.1",2015/11/22 22:45:19,2015/11/22 22:45:19,19,"undefined",
104,3680,3361,2099/12/31,,0,"127.0.0.1",2015/11/22 22:45:19,2015/11/22 22:45:19,40,"undefined",
105,3680,2441,2099/12/31,,0,"127.0.0.1",2015/11/22 22:45:19,2015/11/22 22:45:19,5,"undefined",
107,3680,3492,2099/12/31,,0,"127.0.0.1",2015/11/22 22:45:19,2015/11/22 22:45:19,51,"undefined",
108,3680,3285,2099/12/31,,0,"127.0.0.1",2015/11/22 22:45:19,2015/11/22 22:45:19,30,"undefined",
109,3680,3021,2099/12/31,,0,"127.0.0.1",2015/11/22 22:45:19,2015/11/22 22:45:19,20,"undefined",
112,3680,910,2099/12/31,,0,"127.0.0.1",2015/11/22 22:45:19,2015/11/22 22:45:19,10,"undefined",
113,3680,908,2099/12/31,,0,"127.0.0.1",2015/11/22 22:45:19,2015/11/22 22:45:19,15,"undefined",
114,3680,888,2099/12/31,,0,"127.0.0.1",2015/11/22 22:45:19,2015/11/22 22:45:19,18,"undefined",
115,3680,768,2099/12/31,,0,"127.0.0.1",2015/11/22 22:45:19,2015/11/22 22:45:19,986,"undefined",
116,3680,767,2099/12/31,,0,"127.0.0.1",2015/11/22 22:45:20,2015/11/22 22:45:20,990,"undefined",
117,3680,766,2099/12/31,,0,"127.0.0.1",2015/11/22 22:45:20,2015/11/22 22:45:20,989,"undefined",
118,3680,765,2099/12/31,,0,"127.0.0.1",2015/11/22 22:45:20,2015/11/22 22:45:20,987,"undefined",
119,3680,763,2099/12/31,,0,"127.0.0.1",2015/11/22 22:45:20,2015/11/22 22:45:20,810,"undefined",
120,3680,762,2099/12/31,,0,"127.0.0.1",2015/11/22 22:45:20,2015/11/22 22:45:20,800,"undefined",
121,3680,733,2099/12/31,,0,,2015/11/22 22:45:20,2015/11/22 22:45:20,1,,
122,3680,1074,2099/12/31,,0,"127.0.0.1",2015/11/22 22:45:20,2015/11/22 22:45:20,800,"undefined",
123,3681,4441,2099/12/31,,0,"127.0.0.1",2015/11/22 22:50:02,2015/11/22 22:50:02,50,"undefined",
124,3681,4062,2099/12/31,,0,"127.0.0.1",2015/11/22 22:50:02,2015/11/22 22:50:02,40,"xxxactsのcno　",
125,3681,4382,2099/12/31,,0,"127.0.0.1",2015/11/22 22:50:02,2015/11/22 22:50:02,21,"undefined",
126,3681,4381,2099/12/31,,0,"127.0.0.1",2015/11/22 22:50:02,2015/11/22 22:50:02,19,"受入残数",
127,3681,3361,2099/12/31,,0,"127.0.0.1",2015/11/22 22:50:02,2015/11/22 22:50:02,30,"undefined",
128,3681,2441,2099/12/31,,0,"127.0.0.1",2015/11/22 22:50:02,2015/11/22 22:50:02,5,"undefined",
130,3681,3492,2099/12/31,,0,"127.0.0.1",2015/11/22 22:50:02,2015/11/22 22:50:02,51,"undefined",
131,3681,3321,2099/12/31,,0,"127.0.0.1",2015/11/22 22:50:02,2015/11/22 22:50:02,32,,
132,3681,3285,2099/12/31,,0,"127.0.0.1",2015/11/22 22:50:03,2015/11/22 22:50:03,31,"基本cno_instで実績を計上する。相手先がcno_instをセットできないときはsno_ordを送ってもらう。",
133,3681,3021,2099/12/31,,0,"127.0.0.1",2015/11/22 22:50:03,2015/11/22 22:50:03,20,"undefined",
135,3681,2383,2099/12/31,,0,"127.0.0.1",2015/11/22 22:50:03,2015/11/22 22:50:03,15,"prdinsts用",
136,3681,910,2099/12/31,,0,"127.0.0.1",2015/11/22 22:50:03,2015/11/22 22:50:03,10,"undefined",
137,3681,888,2099/12/31,,0,"127.0.0.1",2015/11/22 22:50:03,2015/11/22 22:50:03,18,"undefined",
138,3681,768,2099/12/31,,0,"127.0.0.1",2015/11/22 22:50:03,2015/11/22 22:50:03,986,"undefined",
139,3681,767,2099/12/31,,0,"127.0.0.1",2015/11/22 22:50:03,2015/11/22 22:50:03,990,"undefined",
140,3681,766,2099/12/31,,0,"127.0.0.1",2015/11/22 22:50:03,2015/11/22 22:50:03,989,"undefined",
141,3681,765,2099/12/31,,0,"127.0.0.1",2015/11/22 22:50:03,2015/11/22 22:50:03,987,"undefined",
142,3681,763,2099/12/31,,0,"127.0.0.1",2015/11/22 22:50:03,2015/11/22 22:50:03,810,"undefined",
143,3681,762,2099/12/31,,0,"127.0.0.1",2015/11/22 22:50:03,2015/11/22 22:50:03,800,"undefined",
144,3681,733,2099/12/31,,0,,2015/11/22 22:50:04,2015/11/22 22:50:04,1,,
145,3681,1074,2099/12/31,,0,"127.0.0.1",2015/11/22 22:50:04,2015/11/22 22:50:04,800,"undefined",
146,3681,1270,2099/12/31,,0,"127.0.0.1",2015/11/22 23:07:00,2015/11/22 23:07:00,26,"undefined",
147,3680,1270,2099/12/31,,0,"127.0.0.1",2015/11/22 23:07:49,2015/11/22 23:07:49,24,"undefined",
161,3600,4501,2099/12/31,,0,"127.0.0.1",2015/11/23 9:43:51,2015/11/23 9:43:51,10,"業者への返品日",
162,3380,4501,2099/12/31,,0,"127.0.0.1",2015/11/23 9:45:38,2015/11/23 9:45:38,10,"業者への返品日",
163,3380,4502,2099/12/31,,0,"127.0.0.1",2015/11/23 9:53:35,2015/11/23 10:03:48,15,"返品元",
165,3600,4502,2099/12/31,,0,"127.0.0.1",2015/11/23 10:04:52,2015/11/23 10:04:52,15,"返品元",
166,3600,1270,2099/12/31,,0,"127.0.0.1",2015/11/23 10:05:08,2015/11/23 10:05:08,16,"返品場所",
168,3380,1822,2099/12/31,,0,"127.0.0.1",2015/11/23 10:48:41,2015/11/23 10:49:31,16,"返品先",
330,3481,1074,2099/12/31,,0,"127.0.0.1",2015/11/23 11:58:52,2015/11/23 11:58:52,800,"undefined",
331,3481,733,2099/12/31,,0,,2015/11/23 11:58:52,2015/11/23 11:58:52,1,,
332,3481,762,2099/12/31,,0,"127.0.0.1",2015/11/23 11:58:52,2015/11/23 11:58:52,801,"undefined",
333,3481,763,2099/12/31,,0,"127.0.0.1",2015/11/23 11:58:52,2015/11/23 11:58:52,802,"undefined",
334,3481,765,2099/12/31,,0,"127.0.0.1",2015/11/23 11:58:52,2015/11/23 11:58:52,987,"undefined",
335,3481,766,2099/12/31,,0,"127.0.0.1",2015/11/23 11:58:53,2015/11/23 11:58:53,989,"undefined",
336,3481,767,2099/12/31,,0,"127.0.0.1",2015/11/23 11:58:53,2015/11/23 11:58:53,990,"undefined",
337,3481,768,2099/12/31,,0,"127.0.0.1",2015/11/23 11:58:53,2015/11/23 11:58:53,986,"undefined",
338,3481,888,2099/12/31,,0,"127.0.0.1",2015/11/23 11:58:53,2015/11/23 11:58:53,18,"undefined",
341,3481,892,2099/12/31,,0,"127.0.0.1",2015/11/23 11:58:53,2015/11/23 11:58:53,32,,
342,3481,910,2099/12/31,,0,"127.0.0.1",2015/11/23 12:02:20,2015/11/23 12:02:20,5,"受入、入力日",
343,3481,3641,2099/12/31,,0,"127.0.0.1",2015/11/23 12:02:20,2015/11/23 12:02:20,31,"特定できないときは""dummy""",
344,3481,1270,2099/12/31,,0,"127.0.0.1",2015/11/23 12:02:20,2015/11/23 12:02:20,16,"返品場所",
345,3481,1512,2099/12/31,,0,"127.0.0.1",2015/11/23 12:02:20,2015/11/23 12:02:20,21,"undefined",
346,3481,3021,2099/12/31,,0,"127.0.0.1",2015/11/23 12:02:20,2015/11/23 12:02:20,17,"undefined",
348,3481,1830,2099/12/31,,0,"127.0.0.1",2015/11/23 12:02:20,2015/11/23 12:02:20,36,"undefined",
