"BUTTONS_ID","ID","EXPIREDATE","REMARK","PERSONS_ID_UPD","UPDATE_IP","CREATED_AT","UPDATED_AT","SCREENS_ID_UB","CONTENTS"
3,1,2099/12/31,,0,,,,10,
4,2,2099/12/31,,0,,,,10,
5,3,2099/12/31,,0,,,,10,
6,4,2099/12/31,,0,,,,10,
7,5,2099/12/31,,0,,,,10,
8,6,2099/12/31,,0,,,,10,
1,15,2099/12/31,,0,,,,164,
2,16,2099/12/31,,0,,,,164,
3,17,2099/12/31,,0,,,,164,
4,18,2099/12/31,,0,,,,164,
5,19,2099/12/31,,0,,,,164,
6,20,2099/12/31,,0,,,,164,
7,21,2099/12/31,,0,,,,164,
8,22,2099/12/31,,0,,,,164,
1,31,2099/12/31,,0,,,,27,
2,32,2099/12/31,,0,,,,27,
3,33,2099/12/31,,0,,,,27,
4,34,2099/12/31,,0,,,,27,
5,35,2099/12/31,,0,,,,27,
6,36,2099/12/31,,0,,,,27,
7,37,2099/12/31,,0,,,,27,
8,38,2099/12/31,,0,,,,27,
1,39,2099/12/31,,0,,,,12,
2,40,2099/12/31,,0,,,,12,
3,41,2099/12/31,,0,,,,12,
4,42,2099/12/31,,0,,,,12,
5,43,2099/12/31,,0,,,,12,
6,44,2099/12/31,,0,,,,12,
7,45,2099/12/31,,0,,,,12,
8,46,2099/12/31,,0,,,,12,
1,47,2099/12/31,,0,,,,25,
2,48,2099/12/31,,0,,,,25,
3,49,2099/12/31,,0,,,,25,
4,50,2099/12/31,,0,,,,25,
5,51,2099/12/31,,0,,,,25,
6,52,2099/12/31,,0,,,,25,
7,53,2099/12/31,,0,,,,25,
8,54,2099/12/31,,0,,,,25,
1,71,2099/12/31,,0,,,,242,
2,72,2099/12/31,,0,,,,242,
3,73,2099/12/31,,0,,,,242,
4,74,2099/12/31,,0,,,,242,
5,75,2099/12/31,,0,,,,242,
6,76,2099/12/31,,0,,,,242,
7,77,2099/12/31,,0,,,,242,
8,78,2099/12/31,,0,,,,242,
1,80,2099/12/31,,0,,,,261,
2,81,2099/12/31,,0,,,,261,
3,82,2099/12/31,,0,,,,261,
4,83,2099/12/31,,0,,,,261,
5,84,2099/12/31,,0,,,,261,
6,85,2099/12/31,,0,,,,261,
7,86,2099/12/31,,0,,,,261,
8,87,2099/12/31,,0,,,,261,
21,88,2099/12/31,,0,,,,261,
104,91,2099/12/31,,0,,,,28,
102,92,2099/12/31,,0,,,,28,
121,93,2099/12/31,,0,,,,101,
1,94,2099/12/31,,0,,,,35,
2,95,2099/12/31,,0,,,,35,
3,96,2099/12/31,,0,,,,35,
4,97,2099/12/31,,0,,,,35,
5,98,2099/12/31,,0,,,,35,
6,99,2099/12/31,,0,,,,35,
7,100,2099/12/31,,0,,,,35,
8,101,2099/12/31,,0,,,,35,
2,103,2099/12/31,,0,,,,26,
8,109,2099/12/31,,0,,,,26,
1,126,2099/12/31,,0,,,,5,
2,127,2099/12/31,,0,,,,5,
3,128,2099/12/31,,0,,,,5,
4,129,2099/12/31,,0,,,,5,
5,130,2099/12/31,,0,,,,5,
6,131,2099/12/31,,0,,,,5,
7,132,2099/12/31,,0,,,,5,
8,133,2099/12/31,,0,,,,5,
1,134,2099/12/31,,0,,,,8,
2,135,2099/12/31,,0,,,,8,
3,136,2099/12/31,,0,,,,8,
4,137,2099/12/31,,0,,,,8,
5,138,2099/12/31,,0,,,,8,
6,139,2099/12/31,,0,,,,8,
7,140,2099/12/31,,0,,,,8,
8,141,2099/12/31,,0,,,,8,
1,142,2099/12/31,,0,,,,9,
2,143,2099/12/31,,0,,,,9,
3,144,2099/12/31,,0,,,,9,
4,145,2099/12/31,,0,,,,9,
5,146,2099/12/31,,0,,,,9,
6,147,2099/12/31,,0,,,,9,
7,148,2099/12/31,,0,,,,9,
8,149,2099/12/31,,0,,,,9,
1,150,2099/12/31,,0,,,,20,
2,151,2099/12/31,,0,,,,20,
3,152,2099/12/31,,0,,,,20,
4,153,2099/12/31,,0,,,,20,
5,154,2099/12/31,,0,,,,20,
6,155,2099/12/31,,0,,,,20,
7,156,2099/12/31,,0,,,,20,
8,157,2099/12/31,,0,,,,20,
1,158,2099/12/31,,0,,,,19,
2,159,2099/12/31,,0,,,,19,
3,160,2099/12/31,,0,,,,19,
4,161,2099/12/31,,0,,,,19,
5,162,2099/12/31,,0,,,,19,
6,163,2099/12/31,,0,,,,19,
7,164,2099/12/31,,0,,,,19,
8,165,2099/12/31,,0,,,,19,
1,174,2099/12/31,,0,,,,101,
2,175,2099/12/31,,0,,,,101,
3,176,2099/12/31,,0,,,,101,
4,177,2099/12/31,,0,,,,101,
5,178,2099/12/31,,0,,,,101,
6,179,2099/12/31,,0,,,,101,
7,180,2099/12/31,,0,,,,101,
8,181,2099/12/31,,0,,,,101,
1,198,2099/12/31,,0,,,,31,
2,199,2099/12/31,,0,,,,31,
3,200,2099/12/31,,0,,,,31,
4,201,2099/12/31,,0,,,,31,
5,202,2099/12/31,,0,,,,31,
6,203,2099/12/31,,0,,,,31,
7,204,2099/12/31,,0,,,,31,
8,205,2099/12/31,,0,,,,31,
1,206,2099/12/31,,0,,,,11,
2,207,2099/12/31,,0,,,,11,
3,208,2099/12/31,,0,,,,11,
4,209,2099/12/31,,0,,,,11,
5,210,2099/12/31,,0,,,,11,
6,211,2099/12/31,,0,,,,11,
7,212,2099/12/31,,0,,,,11,
8,213,2099/12/31,,0,,,,11,
1,214,2099/12/31,,0,,,,33,
6,219,2099/12/31,,0,,,,33,
7,220,2099/12/31,,0,,,,33,
8,221,2099/12/31,,0,,,,33,
1,222,2099/12/31,,0,,,,29,
2,223,2099/12/31,,0,,,,29,
3,224,2099/12/31,,0,,,,29,
4,225,2099/12/31,,0,,,,29,
5,226,2099/12/31,,0,,,,29,
6,227,2099/12/31,,0,,,,29,
7,228,2099/12/31,,0,,,,29,
8,229,2099/12/31,,0,,,,29,
1,238,2099/12/31,,0,,,,34,
2,239,2099/12/31,,0,,,,34,
3,240,2099/12/31,,0,,,,34,
4,241,2099/12/31,,0,,,,34,
5,242,2099/12/31,,0,,,,34,
6,243,2099/12/31,,0,,,,34,
7,244,2099/12/31,,0,,,,34,
8,245,2099/12/31,,0,,,,34,
1,246,2099/12/31,,0,,,,21,
2,247,2099/12/31,,0,,,,21,
3,248,2099/12/31,,0,,,,21,
4,249,2099/12/31,,0,,,,21,
5,250,2099/12/31,,0,,,,21,
6,251,2099/12/31,,0,,,,21,
7,252,2099/12/31,,0,,,,21,
8,253,2099/12/31,,0,,,,21,
1,254,2099/12/31,,0,,,,41,
2,255,2099/12/31,,0,,,,41,
3,256,2099/12/31,,0,,,,41,
4,257,2099/12/31,,0,,,,41,
5,258,2099/12/31,,0,,,,41,
6,259,2099/12/31,,0,,,,41,
7,260,2099/12/31,,0,,,,41,
8,261,2099/12/31,,0,,,,41,
1,262,2099/12/31,,0,,,,6,
2,263,2099/12/31,,0,,,,6,
3,264,2099/12/31,,0,,,,6,
4,265,2099/12/31,,0,,,,6,
5,266,2099/12/31,,0,,,,6,
6,267,2099/12/31,,0,,,,6,
7,268,2099/12/31,,0,,,,6,
8,269,2099/12/31,,0,,,,6,
1,270,2099/12/31,,0,,,,36,
2,271,2099/12/31,,0,,,,36,
3,272,2099/12/31,,0,,,,36,
4,273,2099/12/31,,0,,,,36,
5,274,2099/12/31,,0,,,,36,
6,275,2099/12/31,,0,,,,36,
7,276,2099/12/31,,0,,,,36,
8,277,2099/12/31,,0,,,,36,
1,278,2099/12/31,,0,,,,30,
2,279,2099/12/31,,0,,,,30,
3,280,2099/12/31,,0,,,,30,
4,281,2099/12/31,,0,,,,30,
5,282,2099/12/31,,0,,,,30,
6,283,2099/12/31,,0,,,,30,
7,284,2099/12/31,,0,,,,30,
8,285,2099/12/31,,0,,,,30,
1,286,2099/12/31,,0,,,,17,
2,287,2099/12/31,,0,,,,17,
3,288,2099/12/31,,0,,,,17,
4,289,2099/12/31,,0,,,,17,
5,290,2099/12/31,,0,,,,17,
6,291,2099/12/31,,0,,,,17,
7,292,2099/12/31,,0,,,,17,
8,293,2099/12/31,,0,,,,17,
1,294,2099/12/31,,0,,,,7,
2,295,2099/12/31,,0,,,,7,
3,296,2099/12/31,,0,,,,7,
4,297,2099/12/31,,0,,,,7,
5,298,2099/12/31,,0,,,,7,
6,299,2099/12/31,,0,,,,7,
7,300,2099/12/31,,0,,,,7,
8,301,2099/12/31,,0,,,,7,
1,302,2099/12/31,,0,,,,61,
2,303,2099/12/31,,0,,,,61,
3,304,2099/12/31,,0,,,,61,
4,305,2099/12/31,,0,,,,61,
5,306,2099/12/31,,0,,,,61,
6,307,2099/12/31,,0,,,,61,
7,308,2099/12/31,,0,,,,61,
8,309,2099/12/31,,0,,,,61,
1,310,2099/12/31,,0,,,,28,
2,311,2099/12/31,,0,,,,28,
3,312,2099/12/31,,0,,,,28,
4,313,2099/12/31,,0,,,,28,
5,314,2099/12/31,,0,,,,28,
6,315,2099/12/31,,0,,,,28,
7,316,2099/12/31,,0,,,,28,
1,318,2099/12/31,,0,,,,22,
2,319,2099/12/31,,0,,,,22,
3,320,2099/12/31,,0,,,,22,
4,321,2099/12/31,,0,,,,22,
5,322,2099/12/31,,0,,,,22,
6,323,2099/12/31,,0,,,,22,
7,324,2099/12/31,,0,,,,22,
8,325,2099/12/31,,0,,,,22,
1,326,2099/12/31,,0,,,,18,
2,327,2099/12/31,,0,,,,18,
